Configuration Parameters
  Algorithm=Random
  logFile=Logs/sample_log2.txt
  maxLength=6
  maxWidth=5
  numFits=1000
  numRuns=30
  probFile=Problems/sample.txt
  seed=1505787221
  solFile=Solutions/sample_sol2.txt

Run 0
	0	3

Run 1
	0	3

Run 2
	0	1
	2	2
	6	3

Run 3
	0	1
	4	2
	67	3

Run 4
	0	1
	1	2
	5	3

Run 5
	0	1
	4	3

Run 6
	0	1
	3	2
	16	3

Run 7
	0	1
	1	2
	9	3

Run 8
	0	1
	1	2
	4	3

Run 9
	0	2
	7	3

Run 10
	0	2
	7	3

Run 11
	0	1
	9	2
	13	3

Run 12
	0	1
	2	2
	3	3

Run 13
	0	3

Run 14
	0	1
	1	2
	7	3

Run 15
	0	2
	6	3

Run 16
	0	1
	1	2
	56	3

Run 17
	0	1
	4	2
	37	3

Run 18
	0	1
	1	2
	17	3

Run 19
	0	1
	2	3

Run 20
	0	1
	9	2
	12	3

Run 21
	0	1
	3	2
	28	3

Run 22
	0	1
	16	3

Run 23
	0	1
	4	3

Run 24
	0	2
	8	3

Run 25
	0	1
	1	2
	13	3

Run 26
	0	3

Run 27
	0	1
	2	2
	18	3

Run 28
	0	1
	1	2
	3	3

Run 29
	0	1
	3	3
